#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,
"Dataset: Science,technology and innovation",,,,,,,,
Indicator,,Total R&D personnel per thousand labour force (HC),,,,,,
Time,,2013,2014,2015,2016,2017,2018,2019
Montenegro,,8.82013,8.83723,8.72225,8.03175,8.1643,..,..
Morocco,,..,4.20892,..,4.49675,..,..,..
Mozambique,,..,..,0.366,..,..,..,..
Myanmar,,..,..,..,..,0.13783,..,..
Namibia,,..,1.29321,..,..,..,..,..
Nauru,,..,..,..,..,..,..,..
Nepal,,..,..,..,..,..,..,..
Netherlands,,20.56392,21.04731,20.67302,20.80138,21.09416,..,..
New Zealand,,17.74374,..,21.79529,..,24.19961,..,..
Nicaragua,,..,..,..,..,..,..,..
Niger,,0.22927,..,..,..,..,..,..
Nigeria,,..,..,..,..,..,..,..
North Macedonia,,3.36775,4.39826,4.4644,4.59227,4.24591,4.27769,..
Norway,,25.28352,26.39854,27.65736,29.03868,30.6432,..,..
Oman,,1.27042,2.05308,2.20618,1.74952,1.69192,2.28794,..
Pakistan,,2.23079,..,2.2638,..,2.6846,..,..
Palestine,,8.21696,..,..,..,..,..,..
Panama,,2.06007,0.64018,0.62749,0.70596,0.72839,..,..
Papua New Guinea,,..,..,..,0.45655,..,..,..
Paraguay,,..,1.46106,1.65472,0.79056,0.91271,0.82548,..
Peru,,..,0.28867,0.32611,..,..,..,..
Philippines,,0.88817,..,0.58164,..,..,..,..
Poland,,7.94705,8.329,8.61144,9.3336,12.98111,..,..
Portugal,,17.97407,18.46918,19.78161,19.92383,20.83889,..,..
Puerto Rico,,4.00408,..,4.89778,..,..,..,..
Qatar,,..,..,2.41773,..,..,2.45088,..
Republic of Korea,,21.58229,22.3468,22.60635,22.5719,23.25143,24.6504,..
Republic of Moldova,,4.02012,4.08349,3.82213,3.70769,3.71835,3.4368,..
Romania,,4.68778,4.63514,4.74058,4.93454,4.90192,..,..
Russian Federation,,9.58243,9.67583,9.78903,9.57637,9.47456,9.1661,..
Rwanda,,0.1343,..,..,0.12369,..,..,..
Saint Helena,,..,..,..,..,..,..,..
Saint Lucia,,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,,..,..,..,..,..,..,..
Saudi Arabia,,62.76885,..,..,..,..,..,..
Senegal,,..,..,4.41136,..,..,..,..
Serbia,,6.6025,6.85998,7.49526,7.25728,6.97455,6.99011,..
Seychelles,,..,..,..,..,..,..,..
Singapore,,14.29288,14.08511,14.47532,14.17341,13.86004,..,..
Slovakia,,10.21859,10.56063,10.47096,9.3296,9.43566,12.97257,..
Slovenia,,20.96724,20.63917,20.33497,19.96619,21.26779,..,..
South Africa,,3.38146,3.47593,3.45462,3.62214,3.71187,..,..
Spain,,14.14414,14.27041,14.55586,14.75012,15.35409,..,..
Sri Lanka,,1.5738,1.28308,1.40903,1.11677,1.11255,..,..
Sudan,,..,..,..,..,..,..,..
Sudan (pre-secession),,..,..,..,..,..,..,..
Sweden,,26.21099,12.96309,26.82306,13.52115,25.07795,..,..
Switzerland,,..,..,25.76983,..,25.39715,..,..
Syrian Arab Republic,,..,..,1.67959,..,..,..,..
Tajikistan,,1.53253,1.59676,1.62029,1.67991,1.5726,1.62582,..
Thailand,,..,3.6719,4.10278,4.80233,5.64445,..,..
Togo,,..,0.39628,0.41167,0.21717,0.2822,0.35423,..
Trinidad and Tobago,,2.42397,3.13304,3.77168,3.94354,4.63692,4.82635,..
Tunisia,,8.7763,8.91143,9.03232,9.64139,..,9.05069,..
Turkey,,7.05223,7.44846,7.53128,7.85545,8.33777,..,..
Uganda,,..,0.21263,..,..,..,..,..
Ukraine,,5.73778,5.25409,5.11131,4.97387,4.82212,4.54048,..
United Arab Emirates,,..,..,2.77985,3.37395,..,11.02191,..
United Kingdom of Great Britain and Northern Ireland,,18.30856,19.22483,19.78304,20.37984,8.433,..,..
United Republic of Tanzania,,0.23932,..,..,..,..,..,..
United States of America,,8.14266,8.3904,8.52086,8.43921,8.7295,..,..
United States Virgin Islands,,..,..,..,..,..,..,..
Uruguay,,1.24624,1.24903,1.29028,1.32791,1.35791,1.37267,..
Uzbekistan,,2.56478,2.55049,2.56995,2.53343,2.47829,2.46801,..
Venezuela (Bolivarian Republic of),,0.81216,0.60768,0.55383,0.67523,..,..,..
Viet Nam,,3.01357,..,3.00835,..,3.05264,..,..
Zambia,,..,..,..,..,..,..,..
Zimbabwe,,..,..,..,..,..,..,..
Sustainable Development Goal Regions,,..,..,..,..,..,..,..
  World,,..,..,..,..,..,..,..
  Landlocked Developing Countries,,..,..,..,..,..,..,..
  Least Developed Countries,,..,..,..,..,..,..,..
  Small Island Developing States,,..,..,..,..,..,..,..
  Africa (Sub-Saharan) ,,..,..,..,..,..,..,..
  Western Asia and Northern Africa,,..,..,..,..,..,..,..
  Africa (Northern),,..,..,..,..,..,..,..
  Asia (Western),,..,..,..,..,..,..,..
  Asia (Central and Southern),,..,..,..,..,..,..,..
  Asia (Central),,..,..,..,..,..,..,..
  Asia (Southern),,..,..,..,..,..,..,..
  Asia (Eastern and South-eastern),,..,..,..,..,..,..,..
  Asia (Eastern),,..,..,..,..,..,..,..
  Asia (South-eastern),,..,..,..,..,..,..,..
  Latin America and the Caribbean,,..,..,..,..,..,..,..
  Oceania,,..,..,..,..,..,..,..
  Oceania (Australia/New Zealand),,..,..,..,..,..,..,..
  Northern America and Europe,,..,..,..,..,..,..,..
  Europe,,..,..,..,..,..,..,..
  Northern America ,,..,..,..,..,..,..,..
UIS Regions,,..,..,..,..,..,..,..
  World,,..,..,..,..,..,..,..
  Arab States,,..,..,..,..,..,..,..
  Central and Eastern Europe,,..,..,..,..,..,..,..
  Central Asia,,..,..,..,..,..,..,..
  East Asia and the Pacific,,..,..,..,..,..,..,..
  Latin America and the Caribbean,,..,..,..,..,..,..,..
  North America and Western Europe,,..,..,..,..,..,..,..
  South and West Asia,,..,..,..,..,..,..,..
  Sub-Saharan Africa,,..,..,..,..,..,..,..
  Small Island Developing States,,..,..,..,..,..,..,..
World Bank Income Groups,,..,..,..,..,..,..,..
  Low income countries,,..,..,..,..,..,..,..
  Lower middle income countries,,..,..,..,..,..,..,..
  Middle income countries,,..,..,..,..,..,..,..
  Upper middle income countries,,..,..,..,..,..,..,..
  High income countries,,..,..,..,..,..,..,..
Data extracted on 12 Mar 2022 15:49 UTC (GMT) from UIS.Stat,,,,,,,,
Legend:,,,,,,,,
+:,National Estimation,,,,,,,
