INDICATOR,Indicator,LOCATION,Country,TIME,Time,Value,Flag Codes,Flags
20600,GERD - Total (in '000 local currency),IRL,Ireland,2018,2018,3715000,,
20600,GERD - Total (in '000 local currency),ITA,Italy,2013,2013,20983100,,
20600,GERD - Total (in '000 local currency),ITA,Italy,2014,2014,21781275,,
20600,GERD - Total (in '000 local currency),ITA,Italy,2015,2015,22157000,,
20600,GERD - Total (in '000 local currency),ITA,Italy,2016,2016,23171612,,
20600,GERD - Total (in '000 local currency),ITA,Italy,2017,2017,23793650,,
20600,GERD - Total (in '000 local currency),ITA,Italy,2018,2018,24581681,,
20600,GERD - Total (in '000 local currency),JPN,Japan,2013,2013,16680069000,,
20600,GERD - Total (in '000 local currency),JPN,Japan,2014,2014,17472907000,,
20600,GERD - Total (in '000 local currency),JPN,Japan,2015,2015,17436052000,,
20600,GERD - Total (in '000 local currency),JPN,Japan,2016,2016,16911538000,,
20600,GERD - Total (in '000 local currency),JPN,Japan,2017,2017,17512261000,,
20600,GERD - Total (in '000 local currency),JPN,Japan,2018,2018,17919014000,,
20600,GERD - Total (in '000 local currency),KOR,Republic of Korea,2013,2013,59300949330,,
20600,GERD - Total (in '000 local currency),KOR,Republic of Korea,2014,2014,63734126793,,
20600,GERD - Total (in '000 local currency),KOR,Republic of Korea,2015,2015,65959371727,,
20600,GERD - Total (in '000 local currency),KOR,Republic of Korea,2016,2016,69405529886,,
20600,GERD - Total (in '000 local currency),KOR,Republic of Korea,2017,2017,78789187375,,
20600,GERD - Total (in '000 local currency),KOR,Republic of Korea,2018,2018,85728714738,,
20600,GERD - Total (in '000 local currency),LUX,Luxembourg,2013,2013,605731,,
20600,GERD - Total (in '000 local currency),LUX,Luxembourg,2014,2014,629800,,
20600,GERD - Total (in '000 local currency),LUX,Luxembourg,2015,2015,662300,,
20600,GERD - Total (in '000 local currency),LUX,Luxembourg,2016,2016,690400,,
20600,GERD - Total (in '000 local currency),LUX,Luxembourg,2017,2017,720700,,
20600,GERD - Total (in '000 local currency),LUX,Luxembourg,2018,2018,727400,,
20600,GERD - Total (in '000 local currency),MEX,Mexico,2013,2013,69182632,,
20600,GERD - Total (in '000 local currency),MEX,Mexico,2014,2014,76096799,,
20600,GERD - Total (in '000 local currency),MEX,Mexico,2015,2015,79744619,,
20600,GERD - Total (in '000 local currency),MEX,Mexico,2016,2016,78055097,,
20600,GERD - Total (in '000 local currency),MEX,Mexico,2017,2017,71965466,,
20600,GERD - Total (in '000 local currency),MEX,Mexico,2018,2018,73508186,,
20600,GERD - Total (in '000 local currency),NLD,Netherlands,2013,2013,12746047,,
20600,GERD - Total (in '000 local currency),NLD,Netherlands,2014,2014,13267860,,
20600,GERD - Total (in '000 local currency),NLD,Netherlands,2015,2015,13695788,,
20600,GERD - Total (in '000 local currency),NLD,Netherlands,2016,2016,14144403,,
20600,GERD - Total (in '000 local currency),NLD,Netherlands,2017,2017,14638000,,
20600,GERD - Total (in '000 local currency),NLD,Netherlands,2018,2018,16748200,,
20600,GERD - Total (in '000 local currency),NZL,New Zealand,2013,2013,2685000,,
20600,GERD - Total (in '000 local currency),NZL,New Zealand,2015,2015,3136000,,
20600,GERD - Total (in '000 local currency),NZL,New Zealand,2017,2017,3894000,,
20600,GERD - Total (in '000 local currency),NOR,Norway,2013,2013,50748200,,
20600,GERD - Total (in '000 local currency),NOR,Norway,2014,2014,53866900,,
20600,GERD - Total (in '000 local currency),NOR,Norway,2015,2015,60209200,,
20600,GERD - Total (in '000 local currency),NOR,Norway,2016,2016,63344800,,
20600,GERD - Total (in '000 local currency),NOR,Norway,2017,2017,69176200,,
20600,GERD - Total (in '000 local currency),NOR,Norway,2018,2018,73182000,,
20600,GERD - Total (in '000 local currency),POL,Poland,2013,2013,14423800,,
20600,GERD - Total (in '000 local currency),POL,Poland,2014,2014,16168200,,
20600,GERD - Total (in '000 local currency),POL,Poland,2015,2015,18060700,,
20600,GERD - Total (in '000 local currency),POL,Poland,2016,2016,17943000,,
20600,GERD - Total (in '000 local currency),POL,Poland,2017,2017,20578500,,
20600,GERD - Total (in '000 local currency),POL,Poland,2018,2018,25647792,,
20600,GERD - Total (in '000 local currency),PRT,Portugal,2013,2013,2258471,,
20600,GERD - Total (in '000 local currency),PRT,Portugal,2014,2014,2232249,,
20600,GERD - Total (in '000 local currency),PRT,Portugal,2015,2015,2234370,,
20600,GERD - Total (in '000 local currency),PRT,Portugal,2016,2016,2388467,,
20600,GERD - Total (in '000 local currency),PRT,Portugal,2017,2017,2585100,,
20600,GERD - Total (in '000 local currency),PRT,Portugal,2018,2018,2753066,,
20600,GERD - Total (in '000 local currency),SVK,Slovakia,2013,2013,610876,,
20600,GERD - Total (in '000 local currency),SVK,Slovakia,2014,2014,669632,,
20600,GERD - Total (in '000 local currency),SVK,Slovakia,2015,2015,927272,,
20600,GERD - Total (in '000 local currency),SVK,Slovakia,2016,2016,640835,,
20600,GERD - Total (in '000 local currency),SVK,Slovakia,2017,2017,748955,,
20600,GERD - Total (in '000 local currency),SVK,Slovakia,2018,2018,750947,,
20600,GERD - Total (in '000 local currency),ESP,Spain,2013,2013,13011798,,
20600,GERD - Total (in '000 local currency),ESP,Spain,2014,2014,12820756,,
20600,GERD - Total (in '000 local currency),ESP,Spain,2015,2015,13172000,,
20600,GERD - Total (in '000 local currency),ESP,Spain,2016,2016,13260000,,
20600,GERD - Total (in '000 local currency),ESP,Spain,2017,2017,14063444,,
20600,GERD - Total (in '000 local currency),ESP,Spain,2018,2018,14946000,,
20600,GERD - Total (in '000 local currency),SWE,Sweden,2013,2013,124635000,,
20600,GERD - Total (in '000 local currency),SWE,Sweden,2014,2014,123848000,,
20600,GERD - Total (in '000 local currency),SWE,Sweden,2015,2015,137146000,,
20600,GERD - Total (in '000 local currency),SWE,Sweden,2016,2016,143372000,,
20600,GERD - Total (in '000 local currency),SWE,Sweden,2017,2017,155532000,,
20600,GERD - Total (in '000 local currency),SWE,Sweden,2018,2018,159951000,,
20600,GERD - Total (in '000 local currency),CHE,Switzerland,2015,2015,22058974,,
20600,GERD - Total (in '000 local currency),CHE,Switzerland,2017,2017,22550001,,
20600,GERD - Total (in '000 local currency),TUR,Turkey,2013,2013,14807322,,
20600,GERD - Total (in '000 local currency),TUR,Turkey,2014,2014,17598117,,
20600,GERD - Total (in '000 local currency),TUR,Turkey,2015,2015,20615248,,
20600,GERD - Total (in '000 local currency),TUR,Turkey,2016,2016,24641252,,
20600,GERD - Total (in '000 local currency),TUR,Turkey,2017,2017,29855478,,
20600,GERD - Total (in '000 local currency),GBR,United Kingdom of Great Britain and Northern Ireland,2013,2013,28875100,,
20600,GERD - Total (in '000 local currency),GBR,United Kingdom of Great Britain and Northern Ireland,2014,2014,30599600,,
20600,GERD - Total (in '000 local currency),GBR,United Kingdom of Great Britain and Northern Ireland,2015,2015,31626000,,
20600,GERD - Total (in '000 local currency),GBR,United Kingdom of Great Britain and Northern Ireland,2016,2016,33129600,,
20600,GERD - Total (in '000 local currency),GBR,United Kingdom of Great Britain and Northern Ireland,2017,2017,34808600,,
20600,GERD - Total (in '000 local currency),GBR,United Kingdom of Great Britain and Northern Ireland,2018,2018,36512000,,
20600,GERD - Total (in '000 local currency),USA,United States of America,2013,2013,454823000,,
20600,GERD - Total (in '000 local currency),USA,United States of America,2014,2014,476459000,,
20600,GERD - Total (in '000 local currency),USA,United States of America,2015,2015,495094000,,
20600,GERD - Total (in '000 local currency),USA,United States of America,2016,2016,516590000,,
20600,GERD - Total (in '000 local currency),USA,United States of America,2017,2017,548984000,,
20600,GERD - Total (in '000 local currency),USA,United States of America,2018,2018,581553000,,
20600,GERD - Total (in '000 local currency),DZA,Algeria,2017,2017,100860040.7,,
20600,GERD - Total (in '000 local currency),ARG,Argentina,2013,2013,20708900,,
20600,GERD - Total (in '000 local currency),ARG,Argentina,2014,2014,27198050,,
20600,GERD - Total (in '000 local currency),ARG,Argentina,2015,2015,37074020,,
20600,GERD - Total (in '000 local currency),ARG,Argentina,2016,2016,45925610,,
20600,GERD - Total (in '000 local currency),ARG,Argentina,2017,2017,59304450,,
20600,GERD - Total (in '000 local currency),ARG,Argentina,2018,2018,72093710,,
20600,GERD - Total (in '000 local currency),ARM,Armenia,2013,2013,10120900,,
20600,GERD - Total (in '000 local currency),ARM,Armenia,2014,2014,11661700,,
20600,GERD - Total (in '000 local currency),ARM,Armenia,2015,2015,12609900,,
20600,GERD - Total (in '000 local currency),ARM,Armenia,2016,2016,11809100,,
20600,GERD - Total (in '000 local currency),ARM,Armenia,2017,2017,12680500,,
20600,GERD - Total (in '000 local currency),ARM,Armenia,2018,2018,11357600,,
20600,GERD - Total (in '000 local currency),AZE,Azerbaijan,2013,2013,122000,,
20600,GERD - Total (in '000 local currency),AZE,Azerbaijan,2014,2014,123800,,
20600,GERD - Total (in '000 local currency),AZE,Azerbaijan,2015,2015,120900,,
20600,GERD - Total (in '000 local currency),AZE,Azerbaijan,2016,2016,124700,,
20600,GERD - Total (in '000 local currency),AZE,Azerbaijan,2017,2017,129900,,
20600,GERD - Total (in '000 local currency),AZE,Azerbaijan,2018,2018,147500,,
20600,GERD - Total (in '000 local currency),BLR,Belarus,2013,2013,437230.5,,
20600,GERD - Total (in '000 local currency),BLR,Belarus,2014,2014,407311.9,,
20600,GERD - Total (in '000 local currency),BLR,Belarus,2015,2015,449543.1,,
20600,GERD - Total (in '000 local currency),BLR,Belarus,2016,2016,475344,,
20600,GERD - Total (in '000 local currency),BLR,Belarus,2017,2017,617684,,
20600,GERD - Total (in '000 local currency),BLR,Belarus,2018,2018,739340,,
20600,GERD - Total (in '000 local currency),BIH,Bosnia and Herzegovina,2013,2013,86046.335,,
20600,GERD - Total (in '000 local currency),BIH,Bosnia and Herzegovina,2014,2014,70381.152,,
20600,GERD - Total (in '000 local currency),BIH,Bosnia and Herzegovina,2015,2015,62494.336,,
20600,GERD - Total (in '000 local currency),BIH,Bosnia and Herzegovina,2016,2016,64576.461,,
20600,GERD - Total (in '000 local currency),BIH,Bosnia and Herzegovina,2017,2017,62904.269,,
20600,GERD - Total (in '000 local currency),BIH,Bosnia and Herzegovina,2018,2018,65164.302,,
20600,GERD - Total (in '000 local currency),BRA,Brazil,2013,2013,63748603,,
20600,GERD - Total (in '000 local currency),BRA,Brazil,2014,2014,73468203.1,,
20600,GERD - Total (in '000 local currency),BRA,Brazil,2015,2015,80501765.2,,
20600,GERD - Total (in '000 local currency),BRA,Brazil,2016,2016,79208513.7,,
20600,GERD - Total (in '000 local currency),BRA,Brazil,2017,2017,72016004.47,,
20600,GERD - Total (in '000 local currency),BRA,Brazil,2018,2018,79940871.89,,
20600,GERD - Total (in '000 local currency),BRN,Brunei Darussalam,2018,2018,50809.97694,,
20600,GERD - Total (in '000 local currency),BGR,Bulgaria,2013,2013,521682,,
20600,GERD - Total (in '000 local currency),BGR,Bulgaria,2014,2014,664829,,
20600,GERD - Total (in '000 local currency),BGR,Bulgaria,2015,2015,850457,,
20600,GERD - Total (in '000 local currency),BGR,Bulgaria,2016,2016,734274,,
20600,GERD - Total (in '000 local currency),BGR,Bulgaria,2017,2017,760234,,
20600,GERD - Total (in '000 local currency),BGR,Bulgaria,2018,2018,828904,,
20600,GERD - Total (in '000 local currency),BFA,Burkina Faso,2014,2014,13575300,,
20600,GERD - Total (in '000 local currency),BFA,Burkina Faso,2017,2017,50263000,,
20600,GERD - Total (in '000 local currency),KHM,Cambodia,2015,2015,86811092,,
20600,GERD - Total (in '000 local currency),CHL,Chile,2013,2013,535924384,,
20600,GERD - Total (in '000 local currency),CHL,Chile,2014,2014,557298984,,
20600,GERD - Total (in '000 local currency),CHL,Chile,2015,2015,607462845,,
20600,GERD - Total (in '000 local currency),CHL,Chile,2016,2016,626174380,,
20600,GERD - Total (in '000 local currency),CHL,Chile,2017,2017,640077870,,
20600,GERD - Total (in '000 local currency),CHN,China,2013,2013,1184659795,,
20600,GERD - Total (in '000 local currency),CHN,China,2014,2014,1301562968,,
20600,GERD - Total (in '000 local currency),CHN,China,2015,2015,1416988461,,
20600,GERD - Total (in '000 local currency),CHN,China,2016,2016,1567674841,,
20600,GERD - Total (in '000 local currency),CHN,China,2017,2017,1760612949,,
20600,GERD - Total (in '000 local currency),CHN,China,2018,2018,1967792937,,
20600,GERD - Total (in '000 local currency),COL,Colombia,2013,2013,1935942000,,
20600,GERD - Total (in '000 local currency),COL,Colombia,2014,2014,2331665000,,
20600,GERD - Total (in '000 local currency),COL,Colombia,2015,2015,2331606000,,
20600,GERD - Total (in '000 local currency),COL,Colombia,2016,2016,2305813000,,
20600,GERD - Total (in '000 local currency),COL,Colombia,2017,2017,2235488160,,
20600,GERD - Total (in '000 local currency),COL,Colombia,2018,2018,2313144410,,
20600,GERD - Total (in '000 local currency),CRI,Costa Rica,2013,2013,138144720,,
20600,GERD - Total (in '000 local currency),CRI,Costa Rica,2014,2014,155763000,,
20600,GERD - Total (in '000 local currency),CRI,Costa Rica,2015,2015,131746300,,
20600,GERD - Total (in '000 local currency),CRI,Costa Rica,2016,2016,142122670,,
20600,GERD - Total (in '000 local currency),CRI,Costa Rica,2017,2017,146258950,,
20600,GERD - Total (in '000 local currency),CRI,Costa Rica,2018,2018,133771530,,
20600,GERD - Total (in '000 local currency),HRV,Croatia,2013,2013,2688004,,
20600,GERD - Total (in '000 local currency),HRV,Croatia,2014,2014,2594604,,
20600,GERD - Total (in '000 local currency),HRV,Croatia,2015,2015,2853680,,
20600,GERD - Total (in '000 local currency),HRV,Croatia,2016,2016,3031074,,
20600,GERD - Total (in '000 local currency),HRV,Croatia,2017,2017,3161000,,
20600,GERD - Total (in '000 local currency),HRV,Croatia,2018,2018,3722129,,
20600,GERD - Total (in '000 local currency),CUB,Cuba,2013,2013,366200,,
20600,GERD - Total (in '000 local currency),CUB,Cuba,2014,2014,335500,,
20600,GERD - Total (in '000 local currency),CUB,Cuba,2015,2015,373400,,
20600,GERD - Total (in '000 local currency),CUB,Cuba,2016,2016,312700,,
20600,GERD - Total (in '000 local currency),CUB,Cuba,2017,2017,417100,,
20600,GERD - Total (in '000 local currency),CUB,Cuba,2018,2018,537180,,
20600,GERD - Total (in '000 local currency),CYP,Cyprus,2013,2013,87469,,
20600,GERD - Total (in '000 local currency),CYP,Cyprus,2014,2014,89521,,
20600,GERD - Total (in '000 local currency),CYP,Cyprus,2015,2015,85286,,
20600,GERD - Total (in '000 local currency),CYP,Cyprus,2016,2016,98815,,
20600,GERD - Total (in '000 local currency),CYP,Cyprus,2017,2017,110214,,
20600,GERD - Total (in '000 local currency),CYP,Cyprus,2018,2018,115800,,
20600,GERD - Total (in '000 local currency),COD,Democratic Republic of the Congo,2015,2015,142683288.8,,
20600,GERD - Total (in '000 local currency),ECU,Ecuador,2013,2013,361398.236,,
20600,GERD - Total (in '000 local currency),ECU,Ecuador,2014,2014,450306.465,,
20600,GERD - Total (in '000 local currency),EGY,Egypt,2013,2013,11887000,,
20600,GERD - Total (in '000 local currency),EGY,Egypt,2014,2014,13557258.27,,
20600,GERD - Total (in '000 local currency),EGY,Egypt,2015,2015,17561440,,
20600,GERD - Total (in '000 local currency),EGY,Egypt,2016,2016,19195479.79,,
20600,GERD - Total (in '000 local currency),EGY,Egypt,2017,2017,23575615,,
20600,GERD - Total (in '000 local currency),EGY,Egypt,2018,2018,32121640,,
20600,GERD - Total (in '000 local currency),SLV,El Salvador,2013,2013,14046.37,,
20600,GERD - Total (in '000 local currency),SLV,El Salvador,2014,2014,21186.87,,
20600,GERD - Total (in '000 local currency),SLV,El Salvador,2015,2015,33630,,
20600,GERD - Total (in '000 local currency),SLV,El Salvador,2016,2016,35060,,
20600,GERD - Total (in '000 local currency),SLV,El Salvador,2017,2017,45156.9,,
20600,GERD - Total (in '000 local currency),SLV,El Salvador,2018,2018,43016,,
20600,GERD - Total (in '000 local currency),EST,Estonia,2013,2013,326045,,
20600,GERD - Total (in '000 local currency),EST,Estonia,2014,2014,286736,,
20600,GERD - Total (in '000 local currency),EST,Estonia,2015,2015,302766,,
20600,GERD - Total (in '000 local currency),EST,Estonia,2016,2016,270340,,
20600,GERD - Total (in '000 local currency),EST,Estonia,2017,2017,304320,,
20600,GERD - Total (in '000 local currency),EST,Estonia,2018,2018,365650,,
20600,GERD - Total (in '000 local currency),ETH,Ethiopia,2013,2013,5242607.978,,
20600,GERD - Total (in '000 local currency),ETH,Ethiopia,2017,2017,5028637.186,,
20600,GERD - Total (in '000 local currency),GMB,Gambia,2018,2018,55770.1,,
20600,GERD - Total (in '000 local currency),GEO,Georgia,2013,2013,22464,,
20600,GERD - Total (in '000 local currency),GEO,Georgia,2014,2014,53900,,
20600,GERD - Total (in '000 local currency),GEO,Georgia,2015,2015,101560,,
20600,GERD - Total (in '000 local currency),GEO,Georgia,2016,2016,102440,,
20600,GERD - Total (in '000 local currency),GEO,Georgia,2017,2017,110150,,
20600,GERD - Total (in '000 local currency),GEO,Georgia,2018,2018,125109.2,,
20600,GERD - Total (in '000 local currency),GTM,Guatemala,2013,2013,163071,,
20600,GERD - Total (in '000 local currency),GTM,Guatemala,2014,2014,131919,,
20600,GERD - Total (in '000 local currency),GTM,Guatemala,2015,2015,145850,,
20600,GERD - Total (in '000 local currency),GTM,Guatemala,2016,2016,116037,,
20600,GERD - Total (in '000 local currency),GTM,Guatemala,2017,2017,155579,,
20600,GERD - Total (in '000 local currency),GTM,Guatemala,2018,2018,162000,,
20600,GERD - Total (in '000 local currency),HND,Honduras,2015,2015,68910,,
20600,GERD - Total (in '000 local currency),HND,Honduras,2017,2017,217035.1,,
20600,GERD - Total (in '000 local currency),HKG,"China, Hong Kong Special Administrative Region",2013,2013,15613300,,
20600,GERD - Total (in '000 local currency),HKG,"China, Hong Kong Special Administrative Region",2014,2014,16727300,,
20600,GERD - Total (in '000 local currency),HKG,"China, Hong Kong Special Administrative Region",2015,2015,18270700,,
20600,GERD - Total (in '000 local currency),HKG,"China, Hong Kong Special Administrative Region",2016,2016,19713100,,
20600,GERD - Total (in '000 local currency),HKG,"China, Hong Kong Special Administrative Region",2017,2017,21280400,,
20600,GERD - Total (in '000 local currency),HKG,"China, Hong Kong Special Administrative Region",2018,2018,24478400,,
20600,GERD - Total (in '000 local currency),IND,India,2013,2013,793558900,,
20600,GERD - Total (in '000 local currency),IND,India,2014,2014,874734400,,
20600,GERD - Total (in '000 local currency),IND,India,2015,2015,954524400,,
20600,GERD - Total (in '000 local currency),IND,India,2016,2016,1030992600,,
20600,GERD - Total (in '000 local currency),IND,India,2017,2017,1138250300,,
20600,GERD - Total (in '000 local currency),IND,India,2018,2018,1238477100,+,National Estimation
20600,GERD - Total (in '000 local currency),IDN,Indonesia,2013,2013,8085259000,+,National Estimation
20600,GERD - Total (in '000 local currency),IDN,Indonesia,2016,2016,30427545808,,
20600,GERD - Total (in '000 local currency),IDN,Indonesia,2017,2017,32350756773,,
20600,GERD - Total (in '000 local currency),IDN,Indonesia,2018,2018,33583093534,,
20600,GERD - Total (in '000 local currency),IRN,Iran (Islamic Republic of),2013,2013,25099963000,,
20600,GERD - Total (in '000 local currency),IRN,Iran (Islamic Republic of),2015,2015,47668619000,,
20600,GERD - Total (in '000 local currency),IRN,Iran (Islamic Republic of),2017,2017,1.27168E+11,,
20600,GERD - Total (in '000 local currency),ISR,Israel,2013,2013,43281000,,
20600,GERD - Total (in '000 local currency),ISR,Israel,2014,2014,46230000,,
20600,GERD - Total (in '000 local currency),ISR,Israel,2015,2015,49704000,,
20600,GERD - Total (in '000 local currency),ISR,Israel,2016,2016,55267000,,
20600,GERD - Total (in '000 local currency),ISR,Israel,2017,2017,61241000,,
20600,GERD - Total (in '000 local currency),ISR,Israel,2018,2018,65743000,,
20600,GERD - Total (in '000 local currency),JOR,Jordan,2016,2016,196981.91,,
20600,GERD - Total (in '000 local currency),KAZ,Kazakhstan,2013,2013,61672657.9,,
20600,GERD - Total (in '000 local currency),KAZ,Kazakhstan,2014,2014,66347600,,
20600,GERD - Total (in '000 local currency),KAZ,Kazakhstan,2015,2015,69302900,,
20600,GERD - Total (in '000 local currency),KAZ,Kazakhstan,2016,2016,66600100,,
20600,GERD - Total (in '000 local currency),KAZ,Kazakhstan,2017,2017,68884200,,
20600,GERD - Total (in '000 local currency),KAZ,Kazakhstan,2018,2018,72224600,,
20600,GERD - Total (in '000 local currency),KWT,Kuwait,2013,2013,148933.329,,
20600,GERD - Total (in '000 local currency),KWT,Kuwait,2014,2014,197658.731,,
20600,GERD - Total (in '000 local currency),KWT,Kuwait,2015,2015,33302.5663,,
20600,GERD - Total (in '000 local currency),KWT,Kuwait,2016,2016,26396.17869,,
20600,GERD - Total (in '000 local currency),KWT,Kuwait,2017,2017,29436.56368,,
20600,GERD - Total (in '000 local currency),KWT,Kuwait,2018,2018,26495.541,,
20600,GERD - Total (in '000 local currency),KGZ,Kyrgyzstan,2013,2013,529881.5,,
20600,GERD - Total (in '000 local currency),KGZ,Kyrgyzstan,2014,2014,502322.4,,
20600,GERD - Total (in '000 local currency),KGZ,Kyrgyzstan,2015,2015,512429.2,,
20600,GERD - Total (in '000 local currency),KGZ,Kyrgyzstan,2016,2016,529715.4,,
20600,GERD - Total (in '000 local currency),KGZ,Kyrgyzstan,2017,2017,568000,,
20600,GERD - Total (in '000 local currency),KGZ,Kyrgyzstan,2018,2018,575500,,
20600,GERD - Total (in '000 local currency),LVA,Latvia,2013,2013,139500,,
20600,GERD - Total (in '000 local currency),LVA,Latvia,2014,2014,162800,,
20600,GERD - Total (in '000 local currency),LVA,Latvia,2015,2015,152300,,
20600,GERD - Total (in '000 local currency),LVA,Latvia,2016,2016,110400,,
20600,GERD - Total (in '000 local currency),LVA,Latvia,2017,2017,137900,,
20600,GERD - Total (in '000 local currency),LVA,Latvia,2018,2018,186200,,
20600,GERD - Total (in '000 local currency),LSO,Lesotho,2015,2015,15358.323,,
20600,GERD - Total (in '000 local currency),LTU,Lithuania,2013,2013,332426,,
